sensor_range_zero_suppresses_pass form=ufld_obstacle_sim_unit  mmod=sensor_range_zero_suppresses_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[LIMP-SEAN]
point_size_smaller_pass form=ufld_obstacle_sim_unit  mmod=point_size_smaller_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-7.19,key=ufos_a  mhash=[PURE-LEVI]
point_size_numeric_pass form=ufld_obstacle_sim_unit  mmod=point_size_numeric_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-7.19,key=ufos_a  mhash=[PINK-LOVE]
point_size_bigger_pass form=ufld_obstacle_sim_unit  mmod=point_size_bigger_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-7.19,key=ufos_a  mhash=[WILD-NORM]
point_size_sequence_pass form=ufld_obstacle_sim_unit  mmod=point_size_sequence_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-7.19,key=ufos_a  mhash=[EASY-TIME]
point_size_uppercase_pass form=ufld_obstacle_sim_unit  mmod=point_size_uppercase_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-8.65,key=ufos_a  mhash=[RARE-COST]
point_size_invalid_ignored_pass form=ufld_obstacle_sim_unit  mmod=point_size_invalid_ignored_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-8.65,key=ufos_a  mhash=[WIDE-TWIN]
point_size_floor_ignored_pass form=ufld_obstacle_sim_unit  mmod=point_size_floor_ignored_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-8.65,key=ufos_a  mhash=[CAGY-UMPS]
rate_points_zero_pass form=ufld_obstacle_sim_unit  mmod=rate_points_zero_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[NEDS-DATA]
point_size_fraction_pass form=ufld_obstacle_sim_unit  mmod=point_size_fraction_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-7.19,key=ufos_a  mhash=[SICK-WYNN]
rate_points_three_pass form=ufld_obstacle_sim_unit  mmod=rate_points_three_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-8.03,key=ufos_a  mhash=[CHIC-HUEY]
point_size_zero_ignored_pass form=ufld_obstacle_sim_unit  mmod=point_size_zero_ignored_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-7.19,key=ufos_a  mhash=[MASS-NYLE]
refresh_interval_post_points_no_given_pass form=ufld_obstacle_sim_unit  mmod=refresh_interval_post_points_no_given_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[MEEK-ROCK]
post_points_no_visuals_pass form=ufld_obstacle_sim_unit  mmod=post_points_no_visuals_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-8.35,key=ufos_a  mhash=[EPIC-RICE]
node_report_refresh_pass form=ufld_obstacle_sim_unit  mmod=node_report_refresh_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[FINE-WIFE]
refresh_interval_repost_pass form=ufld_obstacle_sim_unit  mmod=refresh_interval_repost_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[BENS-TONY]
